mavpackettype,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz,_t,t
IMU,1745135,0,3.5089922221231973e-06,3.0766796044190414e-06,-2.952220711449627e-05,-0.06385264545679092,-0.05386681109666824,-9.817510604858398,0,0,25.10777473449707,1,1,999,999,1768451510.7005012,0.0
IMU,1745135,1,-7.889029802754521e-05,0.00013401050819084048,-8.098428224911913e-05,-0.05621141940355301,0.031023306772112846,-9.818758010864258,0,0,25.10784149169922,1,1,760,799,1768451510.7005012,0.0
IMU,1765127,1,-3.828822082141414e-05,0.00010524473327677697,-0.000320178281981498,0.7774060964584351,-0.029300086200237274,-9.818117141723633,0,0,25.109167098999023,1,1,760,799,1768451510.720493,0.019992
IMU,1765127,0,4.8410733143100515e-05,2.887937989726197e-05,-9.562143532093614e-05,0.6721687316894531,-0.038002077490091324,-9.817480087280273,0,0,25.109102249145508,1,1,999,999,1768451510.720493,0.019992
IMU,1785119,1,-3.8903985114302486e-05,-4.075473407283425e-05,-1.4710847608512267e-05,2.186619758605957,0.04003431275486946,-9.816665649414062,0,0,25.11049461364746,1,1,760,799,1768451510.7404852,0.039984
IMU,1785119,0,2.7571720693231327e-06,7.787995127728209e-05,-7.76036104070954e-05,2.209608793258667,-0.02237749472260475,-9.817366600036621,0,0,25.110427856445312,1,1,999,999,1768451510.7404852,0.039984
IMU,1805111,1,0.0001467681140638888,-0.00020980805857107043,9.237124322680756e-05,3.1454410552978516,-0.014566907659173012,-9.815343856811523,0,0,25.111820220947266,1,1,760,799,1768451510.760477,0.059976
IMU,1805111,0,5.608841456705704e-05,1.7486840079072863e-05,-8.39079002616927e-05,3.075808048248291,-0.008251486346125603,-9.818517684936523,0,0,25.111820220947266,1,1,999,999,1768451510.760477,0.059976
IMU,1825103,1,0.0002884084533434361,0.00027954080724157393,-2.776059955067467e-05,3.5545196533203125,0.005012971814721823,-9.835336685180664,0,0,25.11314582824707,1,1,760,799,1768451510.7804692,0.079968
IMU,1825103,0,6.270805170061067e-05,4.6845216274959967e-05,-3.0487210096907802e-05,3.5462656021118164,0.028340108692646027,-9.836750984191895,0,0,25.11314582824707,1,1,999,999,1768451510.7804692,0.079968
