mavpackettype,TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,_t,t
RCOU,1745135,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451510.7005012,0.0
RCOU,1785119,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451510.7404852,0.039984
RCOU,1825103,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451510.7804692,0.079968
RCOU,1865087,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451510.8204532,0.119952
RCOU,1905071,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451510.8604372,0.159936
RCOU,1945055,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451510.9004211,0.19992
RCOU,1985039,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451510.9404051,0.239904
RCOU,2025023,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451510.980389,0.279888
RCOU,2065007,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451511.020373,0.319872
RCOU,2104991,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451511.060357,0.359856
RCOU,2144975,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451511.100341,0.39984
RCOU,2184959,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451511.140325,0.439824
RCOU,2224943,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451511.180309,0.479808
RCOU,2264927,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451511.220293,0.519792
RCOU,2304911,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451511.260277,0.559776
RCOU,2344895,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451511.300261,0.59976
RCOU,2384879,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451511.3402452,0.639744
RCOU,2424863,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451511.3802292,0.679728
RCOU,2464847,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451511.4202132,0.719712
RCOU,2504831,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451511.4601972,0.759696
RCOU,2544815,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451511.5001812,0.79968
RCOU,2584799,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451511.5401652,0.839664
RCOU,2624783,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451511.5801492,0.879648
RCOU,2664767,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451511.6201332,0.919632
RCOU,2704751,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451511.6601171,0.959616
RCOU,2744735,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451511.7001011,0.9996
RCOU,2784719,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451511.7400851,1.039584
RCOU,2824703,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451511.780069,1.079568
RCOU,2864687,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451511.820053,1.119552
RCOU,2904671,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451511.860037,1.159536
RCOU,2944655,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451511.900021,1.19952
RCOU,2984639,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451511.940005,1.239504
RCOU,3024623,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451511.979989,1.279488
RCOU,3064607,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451512.019973,1.319472
RCOU,3104591,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451512.059957,1.359456
RCOU,3144575,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451512.0999413,1.39944
RCOU,3184559,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451512.1399252,1.439424
RCOU,3224543,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451512.1799092,1.479408
RCOU,3264527,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451512.2198932,1.519392
RCOU,3304511,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451512.2598772,1.559376
RCOU,3344495,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451512.2998612,1.59936
RCOU,3384479,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451512.3398452,1.639344
RCOU,3424463,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451512.3798292,1.679328
RCOU,3464447,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451512.4198132,1.719312
RCOU,3504431,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451512.4597971,1.759296
RCOU,3544415,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451512.4997811,1.79928
RCOU,3584399,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451512.5397651,1.839264
RCOU,3624383,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451512.579749,1.879248
RCOU,3664367,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451512.619733,1.919232
RCOU,3704351,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451512.659717,1.959216
RCOU,3744335,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451512.699701,1.9992
RCOU,3784319,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451512.739685,2.039184
RCOU,3825136,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451512.780502,2.080001
RCOU,3865120,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451512.820486,2.119985
RCOU,3905104,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451512.86047,2.159969
RCOU,3945088,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451512.900454,2.199953
RCOU,3985072,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451512.940438,2.239937
RCOU,4025056,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451512.980422,2.279921
RCOU,4065040,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451513.0204062,2.319905
RCOU,4105024,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451513.0603902,2.359889
RCOU,4145008,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451513.1003742,2.399873
RCOU,4184992,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451513.1403582,2.439857
RCOU,4224976,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451513.1803422,2.479841
RCOU,4264960,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451513.2203262,2.519825
RCOU,4304944,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451513.2603102,2.559809
RCOU,4344928,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451513.3002942,2.599793
RCOU,4384912,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451513.3402781,2.639777
RCOU,4424896,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451513.3802621,2.679761
RCOU,4464880,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451513.4202461,2.719745
RCOU,4504864,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451513.46023,2.759729
RCOU,4544848,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451513.500214,2.799713
RCOU,4584832,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451513.540198,2.839697
RCOU,4624816,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451513.580182,2.879681
RCOU,4664800,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451513.620166,2.919665
RCOU,4704784,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451513.66015,2.959649
RCOU,4744768,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451513.700134,2.999633
RCOU,4784752,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451513.740118,3.039617
RCOU,4824736,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451513.7801023,3.079601
RCOU,4864720,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451513.8200862,3.119585
RCOU,4904704,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451513.8600702,3.159569
RCOU,4944688,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451513.9000542,3.199553
RCOU,4984672,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451513.9400382,3.239537
RCOU,5024656,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451513.9800222,3.279521
RCOU,5064640,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451514.0200062,3.319505
RCOU,5104624,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451514.0599902,3.359489
RCOU,5144608,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451514.0999742,3.399473
RCOU,5184592,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451514.1399581,3.439457
RCOU,5224576,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451514.1799421,3.479441
RCOU,5264560,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451514.219926,3.519425
RCOU,5304544,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451514.25991,3.559409
RCOU,5344528,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451514.299894,3.599393
RCOU,5384512,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451514.339878,3.639377
RCOU,5424496,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451514.379862,3.679361
RCOU,5464480,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451514.419846,3.719345
RCOU,5504464,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451514.45983,3.759329
RCOU,5544448,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451514.499814,3.799313
RCOU,5584432,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451514.539798,3.839297
RCOU,5624416,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451514.5797822,3.879281
RCOU,5664400,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451514.6197662,3.919265
RCOU,5704384,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451514.6597502,3.959249
RCOU,5744368,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451514.6997342,3.999233
RCOU,5784352,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451514.7397182,4.039217
RCOU,5824336,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451514.7797022,4.079201
RCOU,5864320,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451514.8196862,4.119185
RCOU,5905137,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451514.8605032,4.160002
RCOU,5945121,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451514.9004872,4.199986
RCOU,5985105,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451514.9404712,4.23997
RCOU,6025089,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451514.9804552,4.279954
RCOU,6065073,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451515.0204391,4.319938
RCOU,6105057,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451515.0604231,4.359922
RCOU,6145041,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451515.1004071,4.399906
RCOU,6185025,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451515.140391,4.43989
RCOU,6225009,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451515.180375,4.479874
RCOU,6264993,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451515.220359,4.519858
RCOU,6304977,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451515.260343,4.559842
RCOU,6344961,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451515.300327,4.599826
RCOU,6384945,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451515.340311,4.63981
RCOU,6424929,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451515.380295,4.679794
RCOU,6464913,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451515.420279,4.719778
RCOU,6504897,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451515.4602633,4.759762
RCOU,6544881,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451515.5002472,4.799746
RCOU,6584865,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451515.5402312,4.83973
RCOU,6624849,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451515.5802152,4.879714
RCOU,6664833,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451515.6201992,4.919698
RCOU,6704817,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451515.6601832,4.959682
RCOU,6744801,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451515.7001672,4.999666
RCOU,6784785,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451515.7401512,5.03965
RCOU,6824769,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451515.7801352,5.079634
RCOU,6864753,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451515.8201191,5.119618
RCOU,6904737,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451515.8601031,5.159602
RCOU,6944721,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451515.900087,5.199586
RCOU,6984705,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451515.940071,5.23957
