variable,n_altitude_bins_compared,expert_fbwa_mean_across_bins,fail_auto_mean_across_bins,mean_difference_across_bins,median_difference_across_bins,mean_absolute_difference_across_bins,max_absolute_difference,altitude_of_max_difference_m,signed_difference_at_max,fraction_bins_outside_reference_iqr,fraction_bins_outside_reference_90pct
airspeed_mps,40,22.196135063815134,22.954109763909894,0.7579747000947573,0.6462388567926638,0.861703000023387,2.391666744539222,3.5,2.391666744539222,0.225,0.0
aoa_deg,40,3.5334687171779438,3.2491030567898465,-0.28436566038809674,0.2931403195916553,1.1863957205491453,8.787044468056342,1.5,-8.787044468056342,0.2,0.075
descent_rate_mps,40,2.4792630560846094,2.8754041909327825,0.3961411348481728,0.4511958758039728,0.6014761665676815,1.3573931894760656,25.5,1.3573931894760656,0.5,0.025
groundspeed_mps,40,21.805849241785698,20.985164353341112,-0.8206848884445819,-0.7481057618251725,0.9595599885300136,1.9229961043057084,1.5,-1.9229961043057084,0.15,0.0
p_radps,40,-0.0005888397800327246,0.002388631817962272,0.0029774715979949975,-0.011757160006879402,0.042827458226099575,0.155657285731166,39.5,0.155657285731166,0.35,0.0
pilot_pitch_centered,40,0.15732354963926296,-0.029037389032954098,-0.18636093867221704,-0.22847142458236208,0.18803974467516332,0.3441158791020802,2.5,-0.3441158791020802,0.825,0.525
pilot_roll_centered,40,-0.044064834024408736,0.02066056300921391,0.06472539703362265,0.0610824026055643,0.06472539703362265,0.1333431852869352,38.5,0.1333431852869352,0.925,0.225
pilot_throttle_norm,40,0.10794670016355892,0.011617938893378452,-0.09632876127018046,-0.1137327377279583,0.09632876127018046,0.1610594169719169,27.5,-0.1610594169719169,1.0,1.0
pitch_deg,40,-2.4123589069191964,-3.5394101935287265,-1.1270512866095306,-1.2441650161520084,1.6380763740219415,6.2283892513615555,1.5,-6.2283892513615555,0.275,0.075
q_radps,40,0.008667741413125115,0.0015050515240749949,-0.007162689889050121,-0.00522897483499625,0.028240893320202205,0.0908527890414437,11.5,-0.0908527890414437,0.4,0.125
sideslip_deg,40,0.4655872076201802,1.30785126659933,0.8422640589791499,0.22414697788135582,1.4908637189464027,13.798639635278976,1.5,13.798639635278976,0.2,0.025
throttle_output,40,7.9264197805601215,1.5964074952209386,-6.330012285339184,-5.424591618594324,6.823748958303591,14.497741147741143,28.5,-14.497741147741143,0.825,0.725
